hour,is_raining,traffic_level,surge_multiplier,num_ride_requests
10,1,1,1.0,102
14,1,2,1.2,83
22,0,2,1.0,84
6,0,2,1.2,66
10,0,2,1.0,83
1,1,2,1.0,92
5,1,2,1.2,79
8,0,1,1.0,145
16,0,0,1.0,90
18,0,1,1.0,133
11,0,0,1.2,75
5,0,1,1.0,88
15,1,1,1.0,108
22,0,2,1.0,84
1,0,1,1.2,72
23,0,1,1.5,63
10,1,2,1.5,58
14,0,1,1.2,70
5,0,1,1.0,91
8,0,1,1.0,121
8,0,0,1.2,128
17,0,0,1.2,130
12,0,1,1.0,96
22,0,1,1.2,78
4,0,1,2.0,48
16,0,2,1.0,80
22,0,1,2.0,47
20,0,2,1.2,70
10,0,0,1.5,68
8,0,1,2.0,73
22,1,1,2.0,53
19,0,0,1.0,141
23,0,1,1.0,85
8,0,2,1.2,97
8,1,1,1.2,141
9,1,0,1.0,182
19,0,1,2.0,73
5,0,1,1.5,64
3,0,1,1.0,89
0,0,0,2.0,48
5,0,1,2.0,49
23,0,0,1.0,99
5,0,1,1.5,65
11,0,0,1.0,94
2,1,1,1.0,116
12,0,1,1.5,57
23,1,1,1.2,92
9,0,0,1.0,164
8,1,1,1.5,109
16,0,1,1.0,95
10,1,2,1.0,91
5,0,1,1.2,75
9,1,2,1.0,143
23,1,0,1.5,77
17,0,1,1.0,123
13,0,1,1.2,78
3,1,1,1.0,118
12,0,2,1.0,81
0,1,0,1.0,109
19,0,1,1.0,139
1,0,1,1.2,82
2,0,1,1.0,94
19,0,1,1.0,132
2,0,0,1.0,109
5,0,1,1.0,97
6,0,0,1.2,87
10,0,2,1.2,72
6,1,1,1.2,94
16,0,1,2.0,49
20,0,0,1.0,105
18,0,0,1.5,92
11,1,0,1.0,110
0,0,1,1.2,71
0,0,1,1.5,55
17,1,1,1.5,109
9,0,2,1.0,123
23,1,0,1.0,110
19,1,0,1.0,162
2,1,1,1.0,112
13,0,0,1.2,75
7,0,0,1.5,104
15,0,1,1.0,82
17,0,2,1.0,131
8,0,0,1.2,118
3,0,0,1.2,76
0,0,2,1.0,81
20,0,1,1.2,78
22,0,0,2.0,54
13,0,0,1.2,88
10,0,1,1.0,86
3,0,0,1.2,78
20,1,1,1.0,103
15,1,1,1.2,85
8,1,1,1.5,112
21,0,1,1.0,93
13,0,1,1.0,91
5,0,2,1.2,60
1,0,0,1.0,109
0,0,0,1.5,64
19,1,2,1.0,153
18,0,0,1.5,105
22,0,2,2.0,38
6,0,2,1.0,75
21,1,1,1.0,108
14,0,1,2.0,43
4,0,0,1.0,108
2,0,1,1.0,97
14,1,1,1.0,113
3,0,0,1.0,90
4,0,1,1.0,96
3,0,2,1.0,82
2,0,2,2.0,40
1,0,2,1.5,52
4,0,1,1.0,92
17,1,0,1.0,171
1,0,1,1.0,91
14,0,1,1.0,92
17,0,0,2.0,77
17,0,2,2.0,59
7,0,2,2.0,54
11,0,1,1.0,88
22,0,1,1.0,97
8,0,1,1.0,136
18,1,0,1.0,163
0,0,1,1.0,87
21,0,1,1.0,92
16,0,1,1.0,86
0,0,1,1.0,84
19,1,2,1.0,146
16,0,0,1.2,85
5,0,1,1.0,89
4,1,2,1.0,88
4,0,1,1.2,78
10,0,1,1.0,94
10,0,0,1.2,81
10,0,0,1.5,60
11,0,0,2.0,51
11,0,1,1.0,98
1,0,1,1.2,74
2,0,2,1.0,83
6,0,0,1.0,100
19,0,1,1.0,127
13,0,1,1.0,87
21,0,1,1.5,65
15,0,1,2.0,45
23,1,1,1.0,101
13,1,1,1.0,98
16,1,0,1.0,109
14,0,1,1.2,75
10,0,2,1.0,73
12,0,2,1.0,85
5,0,0,1.0,96
16,0,1,1.2,73
11,0,1,1.0,87
23,0,1,2.0,45
3,0,0,1.0,109
20,1,1,1.0,116
9,0,1,1.0,127
17,0,1,1.2,121
18,0,2,1.5,81
6,0,0,1.0,104
22,1,1,1.2,90
11,0,2,1.0,82
10,0,2,1.5,52
23,0,1,1.2,71
2,0,1,1.0,90
1,0,2,1.2,66
1,0,0,1.2,81
21,0,1,1.2,79
1,0,0,1.0,104
14,1,1,1.5,68
3,0,1,1.0,84
2,1,0,1.0,108
16,0,2,1.0,87
1,0,0,2.0,48
9,0,0,1.2,127
6,0,2,1.0,83
8,0,0,2.0,70
19,1,1,1.0,167
14,0,0,1.0,92
7,1,0,1.0,165
16,0,1,1.2,72
10,0,0,1.0,96
15,0,1,1.0,84
21,0,2,1.0,79
23,0,2,1.0,81
17,0,2,1.0,130
23,0,1,1.0,93
3,0,1,1.0,90
17,0,1,1.5,90
19,1,2,1.2,121
7,0,0,1.0,143
14,0,1,1.0,94
12,0,0,1.5,68
3,0,0,1.0,99
13,0,1,1.2,70
14,0,1,1.2,80
14,0,0,1.5,62
23,0,0,1.0,93
22,0,1,1.0,83
4,0,0,2.0,54
23,1,1,1.2,85
14,1,2,1.0,102
17,0,1,1.0,122
2,0,1,1.0,93
19,0,1,1.0,122
9,0,2,1.5,81
4,0,2,1.0,76
4,1,1,1.0,98
14,0,1,1.0,85
0,0,1,1.5,55
0,1,1,1.0,101
15,0,1,1.0,93
16,0,1,1.2,79
13,1,0,1.0,118
14,0,2,1.0,78
13,0,2,1.5,52
20,0,1,1.0,89
1,0,2,1.0,75
2,0,1,2.0,49
23,0,2,1.5,55
11,0,2,1.0,84
23,0,0,1.0,98
1,0,0,2.0,52
7,0,0,1.0,155
11,1,0,1.0,127
8,0,1,1.0,122
13,0,1,1.0,81
5,0,1,1.0,91
16,1,1,1.0,105
10,0,0,1.0,106
18,0,0,2.0,69
20,1,0,1.2,95
12,0,2,2.0,39
2,0,2,1.0,86
2,0,0,1.0,92
20,1,1,1.0,113
13,0,2,1.0,87
7,0,1,2.0,70
6,0,1,1.0,90
3,0,2,1.2,67
2,0,0,2.0,46
18,0,0,1.2,123
1,0,1,1.2,75
4,1,1,1.2,89
11,0,0,1.0,92
1,0,2,1.0,74
17,0,2,1.5,76
14,0,0,1.0,100
15,0,1,1.0,83
11,0,2,1.0,76
11,0,1,1.0,87
3,0,0,1.0,103
21,0,2,1.0,77
21,0,0,2.0,51
7,0,1,2.0,62
10,0,0,1.2,79
21,0,2,1.2,65
21,0,0,1.0,95
3,0,0,1.0,93
11,0,1,1.2,82
20,0,0,1.5,68
22,0,0,1.5,60
9,0,0,1.2,117
8,0,1,2.0,69
15,0,0,1.0,97
3,0,1,1.5,60
16,0,2,1.0,84
21,0,0,2.0,46
17,1,2,1.0,148
6,0,1,1.0,89
21,0,2,1.0,75
8,0,1,1.0,130
5,0,1,1.0,81
21,0,1,1.0,98
19,1,0,1.5,111
2,0,1,1.5,62
14,0,0,1.0,98
0,0,0,1.0,99
23,1,2,1.0,97
23,0,1,1.5,64
16,0,1,1.5,60
8,0,0,1.0,159
1,0,1,1.2,80
5,1,0,1.5,82
15,0,2,1.2,68
12,1,0,1.0,128
5,0,2,1.0,72
22,1,2,1.0,98
14,0,0,1.2,83
4,0,0,1.5,63
16,0,2,1.2,70
8,0,1,1.0,129
12,1,0,1.5,84
6,0,2,1.0,86
15,0,2,1.0,81
7,1,1,1.0,171
17,0,2,1.2,95
4,0,1,2.0,41
12,0,1,1.2,76
23,0,0,1.0,98
22,0,2,1.2,65
6,0,0,2.0,46
19,0,0,1.2,135
12,0,1,1.0,82
1,0,0,1.2,79
18,1,1,1.0,161
13,0,0,1.2,87
13,0,0,2.0,51
8,0,1,1.0,123
3,0,1,1.0,81
16,0,1,1.2,76
19,1,1,1.2,121
15,0,1,1.0,91
23,0,1,1.0,84
7,0,0,1.2,117
14,0,0,1.0,93
17,0,2,1.0,126
9,1,1,1.5,107
3,0,0,2.0,47
6,0,0,1.0,91
23,0,2,1.5,52
16,0,2,1.0,80
7,0,1,1.0,137
0,0,1,1.2,68
21,0,2,1.2,64
20,1,1,1.0,104
9,0,1,2.0,65
14,0,2,1.2,71
22,0,1,2.0,43
5,0,1,1.0,92
9,0,0,1.2,134
0,0,0,1.0,90
5,0,2,1.5,55
12,0,1,1.0,92
2,0,1,1.5,64
11,0,1,1.0,89
14,1,2,1.5,69
21,0,2,1.0,79
6,0,1,1.0,82
5,1,1,1.5,75
8,0,1,1.2,101
15,0,1,1.0,98
11,0,2,1.0,72
8,1,0,1.0,187
7,0,1,1.2,103
4,0,0,1.0,100
2,0,1,1.2,69
3,0,0,1.0,101
10,0,2,1.2,67
9,0,1,1.0,123
7,0,2,1.0,111
8,1,2,1.2,125
12,1,2,1.5,66
23,0,0,1.0,95
18,0,1,1.0,126
22,1,1,1.0,111
10,0,1,1.5,60
23,0,0,1.5,63
2,0,2,1.2,73
0,0,1,1.0,87
22,0,1,1.5,62
13,0,2,1.5,57
18,0,2,2.0,65
0,0,1,1.5,64
22,0,1,1.0,91
11,0,1,1.0,84
13,0,1,1.0,97
14,1,1,1.0,118
6,1,0,1.2,90
3,0,0,1.0,108
13,0,0,1.5,71
17,0,0,1.0,148
15,0,0,1.0,105
13,0,2,1.0,87
20,0,1,2.0,43
10,0,1,2.0,44
5,0,2,1.0,74
14,1,1,1.0,103
9,0,1,1.0,145
11,0,0,2.0,46
8,0,0,1.0,163
16,1,1,1.0,109
17,0,0,1.0,156
10,1,1,2.0,52
5,0,1,1.5,56
18,0,2,1.5,79
1,0,1,1.0,86
21,1,0,1.0,120
22,0,1,1.2,69
19,0,1,1.0,146
12,1,1,1.0,103
8,0,1,2.0,69
11,0,2,1.5,54
15,0,1,1.0,85
18,0,0,1.0,164
1,0,1,1.2,74
15,0,1,1.5,63
4,1,0,1.0,108
16,0,2,2.0,37
5,0,0,1.0,92
23,0,1,1.2,72
6,0,2,1.2,69
5,0,1,1.0,83
2,0,0,1.2,81
20,0,1,1.5,56
14,0,1,1.0,85
15,0,2,1.5,48
16,0,0,1.0,100
8,0,1,1.2,104
8,1,2,1.0,138
16,0,1,2.0,43
6,0,1,1.0,85
1,0,2,1.0,79
5,0,1,1.5,55
9,0,2,1.2,104
16,0,0,1.0,95
13,0,1,2.0,45
2,0,0,1.5,61
15,1,2,1.0,86
15,0,1,1.2,72
4,0,1,1.0,93
15,1,1,1.2,89
22,0,1,1.5,62
4,0,0,1.2,85
23,0,1,1.0,93
4,0,1,1.2,80
5,0,1,1.0,85
17,0,1,1.0,121
11,0,1,1.0,81
20,0,1,1.0,84
6,0,2,1.0,73
16,0,0,1.5,63
9,1,1,1.2,137
8,0,0,2.0,78
8,0,1,2.0,62
23,0,1,1.0,91
10,0,1,1.5,64
13,1,1,1.0,113
4,0,0,1.0,93
6,1,0,1.0,123
16,0,1,1.0,89
22,0,1,1.2,71
8,1,0,1.2,150
18,0,0,1.0,139
20,0,1,1.2,72
12,0,2,1.2,64
8,0,1,1.2,108
12,0,0,2.0,45
13,1,1,1.2,88
7,0,1,1.0,144
13,0,1,1.0,96
12,0,0,1.0,98
22,0,1,1.2,67
9,0,1,1.2,114
21,0,1,1.2,76
1,0,1,1.0,96
11,0,2,2.0,42
15,0,2,1.2,70
6,0,1,1.0,96
1,1,0,1.0,113
15,0,0,1.2,84
21,0,1,1.2,81
5,0,0,1.0,100
15,0,0,1.0,107
12,0,0,2.0,54
9,0,1,1.0,123
19,0,1,1.5,97
8,0,1,1.0,124
1,0,0,1.0,98
20,0,1,1.0,94
15,0,0,1.0,91
2,0,0,1.2,81
21,0,1,1.0,85
1,0,1,1.2,78
9,0,1,1.2,120
19,0,1,1.0,142
22,0,1,1.0,90
4,0,1,1.0,96
7,0,0,2.0,80
11,1,1,1.0,107
3,0,1,1.0,96
13,1,1,1.5,77
22,0,0,1.2,75
14,0,0,1.0,107
20,0,0,1.2,75
2,0,1,1.5,57
23,0,1,1.2,75
21,0,0,1.5,63
14,0,1,1.0,96
3,0,1,1.0,95
14,0,0,1.2,83
8,0,1,1.0,144
17,0,2,1.5,85
12,0,1,1.0,86
8,0,1,1.0,123
3,0,1,1.0,91
12,0,2,1.0,84
9,0,1,1.0,146
7,0,1,1.0,122
13,0,0,1.0,98
15,0,0,1.0,103
18,0,1,1.0,133
6,1,1,1.5,68
11,0,2,1.0,81
12,0,1,1.0,96
14,1,0,1.0,130
14,1,1,1.2,98
17,0,1,2.0,65
1,0,0,1.2,78
13,0,1,1.5,63
19,0,0,1.0,155
6,0,0,1.5,70
19,0,1,1.2,109
1,0,1,1.0,85
1,0,0,1.5,70
4,0,0,1.2,82
2,0,0,1.0,103
2,0,1,1.2,80
0,0,0,1.0,96
18,0,1,1.0,142
19,1,0,1.5,118
11,0,1,1.5,61
21,0,1,1.5,63
5,0,2,1.2,63
20,0,1,1.0,96
19,0,2,1.0,112
5,0,1,1.0,88
12,0,1,2.0,42
20,0,2,1.0,72
9,1,0,1.0,162
0,0,2,1.2,62
15,1,0,1.5,82
13,0,1,1.0,90
17,0,1,1.0,130
13,1,0,1.0,118
9,0,2,1.5,82
19,0,2,1.5,86
21,0,1,1.2,71
4,1,0,1.2,107
1,1,1,1.0,106
16,0,1,1.0,87
0,0,2,1.2,67
0,1,1,1.2,87
5,0,1,1.2,71
6,0,1,1.5,64
6,1,0,1.2,98
15,0,1,1.0,83
18,0,1,2.0,66
8,0,1,1.0,129
0,0,2,1.0,80
17,1,0,1.2,154
6,0,1,1.0,81
17,0,0,1.0,158
9,0,0,1.2,124
19,0,1,1.0,136
1,0,0,1.0,92
10,0,0,1.2,82
17,0,2,1.5,79
10,0,1,1.2,68
13,0,0,1.2,77
12,1,2,1.5,62
0,0,2,1.0,74
9,0,0,1.2,120
14,0,2,1.0,86
18,0,1,1.2,115
16,0,2,1.0,80
9,0,2,1.5,85
21,0,1,1.5,56
7,0,0,1.5,109
22,0,2,1.0,75
6,1,1,2.0,53
17,0,1,1.2,122
3,0,1,1.0,87
5,0,1,1.2,70
1,0,2,1.0,78
12,0,2,1.0,75
20,0,0,1.0,104
11,0,0,1.0,108
4,0,0,1.0,107
18,1,1,1.5,100
1,0,2,1.0,87
10,0,1,1.0,94
22,0,1,1.0,94
7,0,0,2.0,75
3,0,1,1.2,73
3,0,0,1.2,79
10,0,0,1.0,99
13,0,1,1.0,95
8,0,0,1.2,120
19,0,2,2.0,64
13,0,2,1.0,74
2,1,1,1.2,81
12,0,1,1.2,75
13,0,2,2.0,43
16,0,2,1.0,85
2,0,0,1.5,61
14,0,1,1.0,83
20,0,1,1.2,68
1,0,1,1.0,95
20,1,2,1.2,77
9,1,1,1.0,156
21,0,1,1.0,97
14,0,1,1.2,77
18,0,0,1.2,135
20,0,0,1.0,94
11,0,0,1.5,69
16,1,0,1.2,91
15,0,0,1.0,103
7,1,1,1.2,133
4,1,1,1.0,97
23,0,1,1.2,68
14,0,0,1.2,90
7,0,0,1.2,132
17,0,0,1.2,132
20,0,2,1.5,48
7,0,0,1.0,157
18,0,0,1.0,135
16,0,1,1.0,86
3,1,1,1.0,107
3,0,2,2.0,39
19,0,2,1.0,111
19,1,2,1.2,131
8,0,1,2.0,61
13,1,0,1.2,103
0,0,0,1.0,105
8,1,0,1.5,114
22,1,2,1.2,78
12,0,1,2.0,41
20,0,2,1.5,51
17,0,1,2.0,65
9,0,0,1.5,90
3,1,0,1.0,114
14,0,1,1.2,81
3,0,0,1.0,103
19,0,1,1.0,121
10,0,0,1.2,83
11,0,1,1.0,87
12,0,1,1.5,65
1,0,1,1.0,98
7,0,2,1.5,82
3,0,1,1.2,67
8,0,1,1.5,83
1,0,0,1.0,105
22,1,2,1.2,81
4,0,0,1.5,63
4,0,1,1.0,82
22,0,2,1.5,51
3,0,0,1.0,107
18,0,0,1.5,100
8,0,0,1.2,119
11,0,0,1.2,76
2,0,1,1.0,84
4,0,0,1.5,65
1,0,0,1.0,105
22,0,2,1.0,79
12,0,0,1.0,99
6,0,0,2.0,47
20,1,0,1.0,114
7,0,0,1.0,155
19,0,0,1.0,156
10,0,2,1.0,87
11,0,0,1.0,107
17,0,0,2.0,76
17,0,1,1.0,138
15,1,0,2.0,58
19,0,1,1.0,147
21,1,0,1.0,130
5,0,1,1.5,54
17,1,1,1.0,157
16,1,1,1.0,105
17,1,1,1.0,154
23,0,1,1.0,88
20,0,2,1.0,79
2,0,1,1.0,94
8,0,2,1.0,129
6,0,0,2.0,50
23,0,2,1.2,63
21,1,1,1.0,108
6,1,0,1.5,74
18,1,1,1.0,157
0,0,1,1.2,75
0,0,2,2.0,43
0,0,1,1.5,59
10,0,0,1.0,90
22,1,0,1.2,92
17,1,1,1.2,132
12,0,1,1.0,84
21,1,0,1.0,115
14,0,2,1.0,85
16,0,0,2.0,51
9,1,1,1.5,110
7,0,1,1.5,88
20,0,2,1.0,84
8,0,1,1.2,123
18,0,1,1.0,130
17,0,1,1.5,93
7,0,1,1.0,126
4,1,0,1.2,91
13,1,1,1.2,98
12,0,2,1.0,75
0,0,2,1.0,73
10,0,1,1.0,89
11,0,1,1.0,93
5,0,1,1.0,81
11,0,2,1.0,78
2,0,0,1.2,82
7,0,1,1.0,134
21,1,0,1.0,117
1,0,0,2.0,46
5,0,2,1.0,83
2,0,0,1.0,102
6,0,1,1.0,81
15,0,2,1.2,68
16,1,1,1.2,94
11,1,1,2.0,49
14,0,1,1.0,94
13,0,1,1.5,57
0,0,0,1.0,103
11,1,1,1.0,111
19,0,0,1.5,101
22,0,1,1.0,85
19,0,0,1.0,143
13,0,1,2.0,44
15,0,2,2.0,36
14,0,1,1.0,88
7,0,0,1.0,155
20,0,2,1.0,72
0,0,1,1.2,78
12,0,0,1.5,65
2,1,0,1.5,79
23,0,0,2.0,47
11,1,0,1.5,78
6,0,0,1.5,66
7,0,2,1.5,87
16,0,0,1.5,68
17,0,1,1.0,138
9,0,1,1.0,148
14,0,1,1.0,81
22,0,2,1.0,85
20,0,2,1.0,84
20,0,1,2.0,40
9,0,1,2.0,66
8,1,1,1.0,162
0,0,1,1.2,67
20,1,0,2.0,59
22,0,1,1.0,96
4,0,0,1.5,60
14,0,0,1.0,106
13,1,0,1.0,128
10,0,1,2.0,40
22,0,0,1.0,108
16,0,1,1.0,93
20,1,2,1.2,87
13,0,1,2.0,48
5,0,1,1.2,71
21,0,1,2.0,45
3,0,1,1.0,89
12,0,1,1.0,93
20,0,2,1.0,81
23,0,2,2.0,43
21,0,1,1.0,90
16,0,0,2.0,48
20,0,1,1.0,98
11,0,1,1.0,91
22,0,2,1.0,78
11,0,2,1.0,77
23,0,2,2.0,41
3,1,1,1.5,77
1,0,1,1.0,84
19,0,2,1.2,97
5,0,1,1.2,68
5,0,1,1.2,71
21,0,0,2.0,54
0,0,1,1.0,92
10,0,0,1.0,108
22,1,1,1.2,91
22,0,1,1.2,82
20,0,1,1.5,61
11,0,2,1.0,83
3,0,1,1.0,96
15,0,0,1.5,64
18,0,1,1.0,129
10,1,1,1.2,84
10,1,1,1.0,112
12,1,0,1.5,85
12,0,0,2.0,48
7,0,0,2.0,67
10,1,2,1.2,86
15,0,1,1.0,94
12,0,1,1.0,96
23,0,1,1.0,96
2,0,0,1.2,83
10,1,1,1.0,113
20,0,1,1.0,96
7,0,0,1.0,136
9,0,0,1.5,106
21,0,1,1.5,60
17,0,2,1.0,116
16,0,1,2.0,42
6,0,2,1.0,75
17,0,2,1.0,127
9,0,1,2.0,72
19,1,1,1.0,177
21,0,2,1.0,74
12,0,1,2.0,45
6,0,1,1.0,97
22,0,1,2.0,42
6,0,1,1.0,85
19,1,1,1.0,163
10,0,1,1.0,91
9,1,0,1.0,168
11,0,1,1.0,90
12,0,2,1.0,86
11,0,1,1.2,76
11,0,0,1.2,88
5,0,2,1.0,84
2,0,1,1.0,87
7,0,1,1.0,142
16,0,1,1.0,95
12,0,1,1.0,88
7,0,2,1.0,126
4,0,2,1.2,73
23,0,1,1.0,92
3,0,1,1.5,56
15,1,0,1.0,128
17,0,1,1.5,83
3,0,0,1.0,100
10,0,2,1.2,71
7,0,1,1.0,138
0,1,2,1.0,105
12,0,1,1.2,73
20,0,1,1.0,90
21,0,1,1.0,87
3,0,0,1.5,68
3,0,0,1.0,96
3,1,1,1.0,103
12,1,2,1.2,83
18,0,1,2.0,73
15,0,2,1.0,74
13,0,2,1.5,57
9,0,0,1.0,163
4,1,1,1.0,113
14,0,1,1.0,88
5,0,0,1.0,91
18,0,0,1.0,135
13,0,0,1.0,101
10,0,1,1.0,95
2,0,1,1.5,57
1,0,0,1.0,98
5,1,2,2.0,45
23,0,0,1.0,106
7,0,1,1.0,143
0,0,2,1.0,83
13,1,1,1.5,76
15,0,1,1.0,83
16,0,0,1.2,82
7,0,1,1.5,95
16,0,1,1.0,98
12,0,1,1.0,95
18,0,2,1.5,86
8,1,0,1.0,162
2,0,1,1.0,94
17,0,2,1.5,74
0,0,1,1.0,94
12,0,1,1.2,68
12,0,2,1.0,76
11,0,2,1.0,82
0,0,0,1.5,62
9,1,0,1.0,190
18,0,2,1.2,91
21,0,0,1.2,88
6,0,2,1.5,54
13,0,1,1.2,67
5,0,0,1.0,95
5,0,1,1.0,89
8,0,0,1.0,154
19,0,0,1.2,129
15,0,1,1.0,97
4,0,0,1.0,98
14,0,0,1.5,60
0,0,0,1.0,95
3,0,1,1.0,82
9,1,2,1.2,128
5,0,0,1.0,92
22,0,1,1.5,58
1,1,1,1.0,100
9,1,0,2.0,90
21,0,0,1.0,93
18,0,0,1.5,105
22,0,1,1.0,89
8,1,2,1.5,95
10,1,1,1.0,117
3,0,0,1.2,80
23,0,0,1.0,97
9,0,2,1.2,101
5,0,0,1.0,96
2,0,1,1.5,63
12,0,0,1.2,84
18,0,0,1.0,135
2,0,0,1.0,96
19,0,2,1.2,99
17,0,1,1.2,118
11,0,0,1.2,87
11,0,0,1.0,103
20,0,1,1.5,64
11,0,0,1.0,94
23,0,1,1.5,59
6,0,2,2.0,40
8,0,1,1.0,147
11,1,2,1.0,105
18,0,1,1.2,112
3,0,1,1.0,83
23,0,1,1.0,96
9,0,0,1.0,135
18,0,0,1.2,123
16,0,1,1.0,89
17,0,0,1.0,139
9,0,0,1.0,146
23,0,1,1.0,93
11,0,2,1.0,83
22,0,2,1.0,84
19,0,1,1.0,136
7,0,2,1.0,115
18,0,2,1.0,108
0,0,0,1.0,102
3,0,1,1.0,91
5,0,1,2.0,46
21,1,0,1.0,130
3,0,1,1.2,71
15,1,1,1.0,112
7,1,1,1.0,152
8,0,2,1.0,126
14,0,1,1.0,81
17,0,0,1.5,95
2,0,0,1.0,95
23,0,1,1.0,96
16,0,1,1.0,90
0,0,0,1.0,98
6,0,1,1.0,85
9,0,1,1.2,108
14,0,2,1.5,55
22,1,1,1.0,115
12,0,2,1.2,61
22,1,1,2.0,48
4,0,0,1.0,100
6,0,1,1.0,96
13,0,1,1.5,54
13,0,0,1.0,101
8,0,1,1.2,119
21,0,0,1.0,92
5,0,2,1.2,64
18,0,1,1.2,103
14,0,0,1.2,75
15,0,0,1.2,83
22,0,2,1.2,68
21,0,2,2.0,43
11,0,1,1.2,72
20,1,0,1.5,76
2,0,1,1.0,92
2,0,1,2.0,49
5,0,1,1.0,84
21,0,2,1.0,73
20,0,1,2.0,48
18,0,1,1.0,125
11,0,1,1.0,88
15,0,1,1.2,79
17,0,1,1.5,87
3,0,2,1.0,82
19,1,1,1.5,114
12,1,1,1.0,108
12,0,0,1.0,94
1,0,0,1.0,94
8,0,0,1.0,164
10,0,1,1.0,95
2,0,0,1.0,96
16,0,1,1.0,84
11,0,0,2.0,47
4,0,0,1.5,70
13,0,1,1.0,91
18,0,2,1.5,83
21,0,1,1.0,92
16,1,2,1.5,68
3,0,2,1.0,87
0,0,0,1.2,85
16,0,1,2.0,45
9,0,0,1.0,138
7,1,2,1.5,104
10,0,0,1.5,60
19,0,1,1.0,139
9,0,2,1.0,125
18,0,2,1.0,115
5,1,0,1.0,110
10,1,0,1.2,98
15,0,2,2.0,37
9,1,0,1.0,183
21,0,2,2.0,36
0,0,2,1.0,72
7,0,0,1.2,126
16,0,0,2.0,46
18,0,0,1.2,121
8,0,0,1.0,161
19,0,1,1.2,101
7,0,1,1.2,104
8,0,1,1.0,145
15,0,1,1.0,87
13,0,0,1.2,81
23,0,0,1.5,67
5,0,1,1.0,88
8,1,2,1.5,101
10,0,1,1.0,86
21,0,2,1.2,62
14,0,0,1.5,67
14,0,2,1.5,53
4,0,1,2.0,43
7,0,2,2.0,58
